datetime_utc,Solar_MW,WindOnshore_MW,TotalRES_MW,irradiance_Wm2,windspeed_ms,temperature_C,datetime_athens,hour_of_day,month,day_of_week,is_weekend
2024-01-01 00:00:00+00:00,0.0,738.0,738.0,0.0,0.32,12.9,2024-01-01 02:00:00+02:00,0,1,0,0
2024-01-01 01:00:00+00:00,0.0,837.0,837.0,0.0,0.89,12.9,2024-01-01 03:00:00+02:00,1,1,0,0
2024-01-01 02:00:00+00:00,0.0,858.0,858.0,0.0,0.71,12.6,2024-01-01 04:00:00+02:00,2,1,0,0
2024-01-01 03:00:00+00:00,19.0,826.0,845.0,0.0,0.6,12.2,2024-01-01 05:00:00+02:00,3,1,0,0
2024-01-01 04:00:00+00:00,0.0,844.0,844.0,0.0,0.51,11.9,2024-01-01 06:00:00+02:00,4,1,0,0
2024-01-01 05:00:00+00:00,2.0,837.0,839.0,0.0,0.9,11.8,2024-01-01 07:00:00+02:00,5,1,0,0
2024-01-01 06:00:00+00:00,280.0,919.0,1199.0,1.0,0.41,12.2,2024-01-01 08:00:00+02:00,6,1,0,0
2024-01-01 07:00:00+00:00,1354.0,917.0,2271.0,51.0,0.5,11.8,2024-01-01 09:00:00+02:00,7,1,0,0
2024-01-01 08:00:00+00:00,2273.0,879.0,3152.0,208.0,0.85,12.9,2024-01-01 10:00:00+02:00,8,1,0,0
2024-01-01 09:00:00+00:00,2819.0,897.0,3716.0,357.0,1.3,13.5,2024-01-01 11:00:00+02:00,9,1,0,0
2024-01-01 10:00:00+00:00,2944.0,982.0,3926.0,434.0,2.01,14.1,2024-01-01 12:00:00+02:00,10,1,0,0
2024-01-01 11:00:00+00:00,2692.0,1114.0,3806.0,467.0,2.36,14.7,2024-01-01 13:00:00+02:00,11,1,0,0
2024-01-01 12:00:00+00:00,2297.0,1164.0,3461.0,436.0,2.69,15.1,2024-01-01 14:00:00+02:00,12,1,0,0
2024-01-01 13:00:00+00:00,1473.0,1128.0,2601.0,296.0,3.66,16.0,2024-01-01 15:00:00+02:00,13,1,0,0
2024-01-01 14:00:00+00:00,355.0,1113.0,1468.0,190.0,2.86,15.8,2024-01-01 16:00:00+02:00,14,1,0,0
2024-01-01 15:00:00+00:00,8.0,1137.0,1145.0,77.0,1.43,13.7,2024-01-01 17:00:00+02:00,15,1,0,0
2024-01-01 16:00:00+00:00,1.0,1102.0,1103.0,1.0,0.89,14.7,2024-01-01 18:00:00+02:00,16,1,0,0
2024-01-01 17:00:00+00:00,0.0,1065.0,1065.0,0.0,0.61,14.9,2024-01-01 19:00:00+02:00,17,1,0,0
2024-01-01 18:00:00+00:00,0.0,953.0,953.0,0.0,1.56,13.1,2024-01-01 20:00:00+02:00,18,1,0,0
2024-01-01 19:00:00+00:00,0.0,1007.0,1007.0,0.0,1.25,13.5,2024-01-01 21:00:00+02:00,19,1,0,0
2024-01-01 20:00:00+00:00,0.0,1082.0,1082.0,0.0,0.54,13.8,2024-01-01 22:00:00+02:00,20,1,0,0
2024-01-01 21:00:00+00:00,0.0,1063.0,1063.0,0.0,0.45,13.4,2024-01-01 23:00:00+02:00,21,1,0,0
2024-01-01 22:00:00+00:00,0.0,1025.0,1025.0,0.0,0.5,13.1,2024-01-02 00:00:00+02:00,22,1,0,0
2024-01-01 23:00:00+00:00,0.0,1109.0,1109.0,0.0,0.67,12.9,2024-01-02 01:00:00+02:00,23,1,0,0
2024-01-02 00:00:00+00:00,0.0,1082.0,1082.0,0.0,0.36,12.6,2024-01-02 02:00:00+02:00,0,1,1,0
2024-01-02 01:00:00+00:00,0.0,1183.0,1183.0,0.0,0.57,12.0,2024-01-02 03:00:00+02:00,1,1,1,0
2024-01-02 02:00:00+00:00,0.0,1328.0,1328.0,0.0,0.78,11.6,2024-01-02 04:00:00+02:00,2,1,1,0
2024-01-02 03:00:00+00:00,0.0,1509.0,1509.0,0.0,1.08,11.4,2024-01-02 05:00:00+02:00,3,1,1,0
2024-01-02 04:00:00+00:00,0.0,1633.0,1633.0,0.0,0.76,12.6,2024-01-02 06:00:00+02:00,4,1,1,0
2024-01-02 05:00:00+00:00,0.0,1597.0,1597.0,0.0,0.6,12.6,2024-01-02 07:00:00+02:00,5,1,1,0
2024-01-02 06:00:00+00:00,82.0,1665.0,1747.0,1.0,1.02,12.1,2024-01-02 08:00:00+02:00,6,1,1,0
2024-01-02 07:00:00+00:00,346.0,1683.0,2029.0,45.0,1.14,11.6,2024-01-02 09:00:00+02:00,7,1,1,0
2024-01-02 08:00:00+00:00,674.0,1731.0,2405.0,115.0,0.61,12.6,2024-01-02 10:00:00+02:00,8,1,1,0
2024-01-02 09:00:00+00:00,1071.0,1738.0,2809.0,119.0,0.5,12.9,2024-01-02 11:00:00+02:00,9,1,1,0
2024-01-02 10:00:00+00:00,1800.0,1701.0,3501.0,60.0,0.71,12.6,2024-01-02 12:00:00+02:00,10,1,1,0
2024-01-02 11:00:00+00:00,2123.0,1819.0,3942.0,86.0,0.42,13.2,2024-01-02 13:00:00+02:00,11,1,1,0
2024-01-02 12:00:00+00:00,1798.0,1736.0,3534.0,101.0,0.3,13.6,2024-01-02 14:00:00+02:00,12,1,1,0
2024-01-02 13:00:00+00:00,1253.0,1516.0,2769.0,102.0,0.86,14.6,2024-01-02 15:00:00+02:00,13,1,1,0
2024-01-02 14:00:00+00:00,407.0,1352.0,1759.0,100.0,0.6,14.6,2024-01-02 16:00:00+02:00,14,1,1,0
2024-01-02 15:00:00+00:00,8.0,1331.0,1339.0,57.0,1.03,13.4,2024-01-02 17:00:00+02:00,15,1,1,0
2024-01-02 16:00:00+00:00,0.0,1394.0,1394.0,1.0,1.0,14.4,2024-01-02 18:00:00+02:00,16,1,1,0
2024-01-02 17:00:00+00:00,0.0,1355.0,1355.0,0.0,1.0,14.1,2024-01-02 19:00:00+02:00,17,1,1,0
2024-01-02 18:00:00+00:00,46.0,1313.0,1359.0,0.0,1.0,13.8,2024-01-02 20:00:00+02:00,18,1,1,0
2024-01-02 19:00:00+00:00,16.0,1260.0,1276.0,0.0,1.03,13.7,2024-01-02 21:00:00+02:00,19,1,1,0
2024-01-02 20:00:00+00:00,0.0,1266.0,1266.0,0.0,0.61,13.5,2024-01-02 22:00:00+02:00,20,1,1,0
2024-01-02 21:00:00+00:00,0.0,1348.0,1348.0,0.0,0.45,13.2,2024-01-02 23:00:00+02:00,21,1,1,0
2024-01-02 22:00:00+00:00,0.0,1439.0,1439.0,0.0,0.5,12.8,2024-01-03 00:00:00+02:00,22,1,1,0
2024-01-02 23:00:00+00:00,0.0,1516.0,1516.0,0.0,0.54,12.8,2024-01-03 01:00:00+02:00,23,1,1,0
2024-01-03 00:00:00+00:00,0.0,1551.0,1551.0,0.0,0.6,12.7,2024-01-03 02:00:00+02:00,0,1,2,0
2024-01-03 01:00:00+00:00,0.0,1532.0,1532.0,0.0,0.91,12.8,2024-01-03 03:00:00+02:00,1,1,2,0
2024-01-03 02:00:00+00:00,0.0,1568.0,1568.0,0.0,1.24,12.2,2024-01-03 04:00:00+02:00,2,1,2,0
2024-01-03 03:00:00+00:00,1.0,1693.0,1694.0,0.0,1.1,12.4,2024-01-03 05:00:00+02:00,3,1,2,0
2024-01-03 04:00:00+00:00,1.0,1807.0,1808.0,0.0,1.66,9.9,2024-01-03 06:00:00+02:00,4,1,2,0
2024-01-03 05:00:00+00:00,7.0,1892.0,1899.0,0.0,1.93,8.9,2024-01-03 07:00:00+02:00,5,1,2,0
2024-01-03 06:00:00+00:00,255.0,2054.0,2309.0,2.0,1.53,10.2,2024-01-03 08:00:00+02:00,6,1,2,0
2024-01-03 07:00:00+00:00,908.0,2032.0,2940.0,89.0,1.36,10.8,2024-01-03 09:00:00+02:00,7,1,2,0
2024-01-03 08:00:00+00:00,1493.0,1999.0,3492.0,238.0,2.26,13.0,2024-01-03 10:00:00+02:00,8,1,2,0
2024-01-03 09:00:00+00:00,1543.0,1923.0,3466.0,373.0,3.91,14.1,2024-01-03 11:00:00+02:00,9,1,2,0
2024-01-03 10:00:00+00:00,1361.0,2023.0,3384.0,456.0,4.3,14.8,2024-01-03 12:00:00+02:00,10,1,2,0
2024-01-03 11:00:00+00:00,1069.0,2186.0,3255.0,481.0,5.0,15.4,2024-01-03 13:00:00+02:00,11,1,2,0
2024-01-03 12:00:00+00:00,683.0,2114.0,2797.0,449.0,5.26,15.8,2024-01-03 14:00:00+02:00,12,1,2,0
2024-01-03 13:00:00+00:00,450.0,1958.0,2408.0,353.0,5.3,16.2,2024-01-03 15:00:00+02:00,13,1,2,0
2024-01-03 14:00:00+00:00,171.0,1819.0,1990.0,179.0,4.3,15.8,2024-01-03 16:00:00+02:00,14,1,2,0
2024-01-03 15:00:00+00:00,4.0,1797.0,1801.0,67.0,3.41,14.4,2024-01-03 17:00:00+02:00,15,1,2,0
2024-01-03 16:00:00+00:00,0.0,1800.0,1800.0,1.0,2.7,12.5,2024-01-03 18:00:00+02:00,16,1,2,0
2024-01-03 17:00:00+00:00,0.0,1718.0,1718.0,0.0,2.71,13.0,2024-01-03 19:00:00+02:00,17,1,2,0
2024-01-03 18:00:00+00:00,0.0,1720.0,1720.0,0.0,2.33,12.1,2024-01-03 20:00:00+02:00,18,1,2,0
2024-01-03 19:00:00+00:00,0.0,1612.0,1612.0,0.0,2.71,12.0,2024-01-03 21:00:00+02:00,19,1,2,0
2024-01-03 20:00:00+00:00,0.0,1593.0,1593.0,0.0,3.42,12.1,2024-01-03 22:00:00+02:00,20,1,2,0
2024-01-03 21:00:00+00:00,0.0,1572.0,1572.0,0.0,3.67,11.9,2024-01-03 23:00:00+02:00,21,1,2,0
2024-01-03 22:00:00+00:00,0.0,1544.0,1544.0,0.0,3.04,11.3,2024-01-04 00:00:00+02:00,22,1,2,0
2024-01-03 23:00:00+00:00,0.0,1463.0,1463.0,0.0,2.85,10.8,2024-01-04 01:00:00+02:00,23,1,2,0
2024-01-04 00:00:00+00:00,0.0,1422.0,1422.0,0.0,3.04,10.8,2024-01-04 02:00:00+02:00,0,1,3,0
2024-01-04 01:00:00+00:00,0.0,1557.0,1557.0,0.0,2.5,11.6,2024-01-04 03:00:00+02:00,1,1,3,0
2024-01-04 02:00:00+00:00,0.0,1585.0,1585.0,0.0,2.3,10.7,2024-01-04 04:00:00+02:00,2,1,3,0
2024-01-04 03:00:00+00:00,0.0,1720.0,1720.0,0.0,1.9,10.2,2024-01-04 05:00:00+02:00,3,1,3,0
2024-01-04 04:00:00+00:00,0.0,1826.0,1826.0,0.0,1.21,12.8,2024-01-04 06:00:00+02:00,4,1,3,0
2024-01-04 05:00:00+00:00,4.0,1884.0,1888.0,0.0,1.72,10.5,2024-01-04 07:00:00+02:00,5,1,3,0
2024-01-04 06:00:00+00:00,323.0,1854.0,2177.0,2.0,1.92,9.9,2024-01-04 08:00:00+02:00,6,1,3,0
2024-01-04 07:00:00+00:00,1423.0,1890.0,3313.0,85.0,1.73,12.2,2024-01-04 09:00:00+02:00,7,1,3,0
2024-01-04 08:00:00+00:00,2541.0,1930.0,4471.0,233.0,3.04,13.7,2024-01-04 10:00:00+02:00,8,1,3,0
2024-01-04 09:00:00+00:00,2867.0,2029.0,4896.0,363.0,3.05,14.8,2024-01-04 11:00:00+02:00,9,1,3,0
2024-01-04 10:00:00+00:00,2859.0,2144.0,5003.0,445.0,3.72,15.4,2024-01-04 12:00:00+02:00,10,1,3,0
2024-01-04 11:00:00+00:00,2652.0,2224.0,4876.0,470.0,3.71,16.0,2024-01-04 13:00:00+02:00,11,1,3,0
2024-01-04 12:00:00+00:00,2457.0,2223.0,4680.0,435.0,3.62,16.4,2024-01-04 14:00:00+02:00,12,1,3,0
2024-01-04 13:00:00+00:00,1649.0,2296.0,3945.0,335.0,3.58,16.8,2024-01-04 15:00:00+02:00,13,1,3,0
2024-01-04 14:00:00+00:00,507.0,2289.0,2796.0,228.0,3.68,16.2,2024-01-04 16:00:00+02:00,14,1,3,0
2024-01-04 15:00:00+00:00,10.0,2336.0,2346.0,83.0,3.14,14.9,2024-01-04 17:00:00+02:00,15,1,3,0
2024-01-04 16:00:00+00:00,2.0,2357.0,2359.0,2.0,3.52,13.8,2024-01-04 18:00:00+02:00,16,1,3,0
2024-01-04 17:00:00+00:00,0.0,2259.0,2259.0,0.0,3.95,13.7,2024-01-04 19:00:00+02:00,17,1,3,0
2024-01-04 18:00:00+00:00,0.0,1840.0,1840.0,0.0,4.13,13.6,2024-01-04 20:00:00+02:00,18,1,3,0
2024-01-04 19:00:00+00:00,21.0,1640.0,1661.0,0.0,2.32,11.6,2024-01-04 21:00:00+02:00,19,1,3,0
2024-01-04 20:00:00+00:00,0.0,1572.0,1572.0,0.0,2.11,10.3,2024-01-04 22:00:00+02:00,20,1,3,0
2024-01-04 21:00:00+00:00,0.0,1472.0,1472.0,0.0,2.32,9.9,2024-01-04 23:00:00+02:00,21,1,3,0
2024-01-04 22:00:00+00:00,0.0,1416.0,1416.0,0.0,1.92,9.6,2024-01-05 00:00:00+02:00,22,1,3,0
2024-01-04 23:00:00+00:00,0.0,1225.0,1225.0,0.0,1.65,10.0,2024-01-05 01:00:00+02:00,23,1,3,0
2024-01-05 00:00:00+00:00,0.0,958.0,958.0,0.0,2.05,8.4,2024-01-05 02:00:00+02:00,0,1,4,0
2024-01-05 01:00:00+00:00,0.0,825.0,825.0,0.0,1.28,12.1,2024-01-05 03:00:00+02:00,1,1,4,0
2024-01-05 02:00:00+00:00,0.0,723.0,723.0,0.0,1.13,13.1,2024-01-05 04:00:00+02:00,2,1,4,0
2024-01-05 03:00:00+00:00,1.0,555.0,556.0,0.0,1.58,11.1,2024-01-05 05:00:00+02:00,3,1,4,0
2024-01-05 04:00:00+00:00,1.0,478.0,479.0,0.0,1.92,10.2,2024-01-05 06:00:00+02:00,4,1,4,0
2024-01-05 05:00:00+00:00,5.0,369.0,374.0,0.0,1.84,10.4,2024-01-05 07:00:00+02:00,5,1,4,0
2024-01-05 06:00:00+00:00,488.0,285.0,773.0,2.0,1.56,11.9,2024-01-05 08:00:00+02:00,6,1,4,0
2024-01-05 07:00:00+00:00,1834.0,198.0,2032.0,86.0,1.13,11.9,2024-01-05 09:00:00+02:00,7,1,4,0
2024-01-05 08:00:00+00:00,2942.0,176.0,3118.0,239.0,0.41,14.1,2024-01-05 10:00:00+02:00,8,1,4,0
2024-01-05 09:00:00+00:00,3384.0,229.0,3613.0,374.0,0.41,15.4,2024-01-05 11:00:00+02:00,9,1,4,0
2024-01-05 10:00:00+00:00,3394.0,324.0,3718.0,461.0,0.67,16.5,2024-01-05 12:00:00+02:00,10,1,4,0
2024-01-05 11:00:00+00:00,2924.0,469.0,3393.0,490.0,0.78,16.9,2024-01-05 13:00:00+02:00,11,1,4,0
2024-01-05 12:00:00+00:00,1899.0,679.0,2578.0,458.0,0.76,17.4,2024-01-05 14:00:00+02:00,12,1,4,0
2024-01-05 13:00:00+00:00,1083.0,831.0,1914.0,373.0,1.2,17.1,2024-01-05 15:00:00+02:00,13,1,4,0
2024-01-05 14:00:00+00:00,414.0,983.0,1397.0,241.0,2.0,16.4,2024-01-05 16:00:00+02:00,14,1,4,0
2024-01-05 15:00:00+00:00,14.0,1166.0,1180.0,87.0,1.35,13.9,2024-01-05 17:00:00+02:00,15,1,4,0
2024-01-05 16:00:00+00:00,2.0,1295.0,1297.0,2.0,1.7,12.6,2024-01-05 18:00:00+02:00,16,1,4,0
2024-01-05 17:00:00+00:00,3.0,1276.0,1279.0,0.0,1.8,12.4,2024-01-05 19:00:00+02:00,17,1,4,0
2024-01-05 18:00:00+00:00,7.0,1417.0,1424.0,0.0,1.92,11.9,2024-01-05 20:00:00+02:00,18,1,4,0
2024-01-05 19:00:00+00:00,3.0,1452.0,1455.0,0.0,1.71,12.1,2024-01-05 21:00:00+02:00,19,1,4,0
2024-01-05 20:00:00+00:00,0.0,1554.0,1554.0,0.0,1.81,11.9,2024-01-05 22:00:00+02:00,20,1,4,0
2024-01-05 21:00:00+00:00,0.0,1632.0,1632.0,0.0,1.91,11.6,2024-01-05 23:00:00+02:00,21,1,4,0
2024-01-05 22:00:00+00:00,0.0,1686.0,1686.0,0.0,1.71,11.8,2024-01-06 00:00:00+02:00,22,1,4,0
2024-01-05 23:00:00+00:00,0.0,1689.0,1689.0,0.0,1.7,11.8,2024-01-06 01:00:00+02:00,23,1,4,0
2024-01-06 00:00:00+00:00,0.0,1828.0,1828.0,0.0,2.42,11.7,2024-01-06 02:00:00+02:00,0,1,5,1
2024-01-06 01:00:00+00:00,0.0,1888.0,1888.0,0.0,1.81,11.2,2024-01-06 03:00:00+02:00,1,1,5,1
2024-01-06 02:00:00+00:00,0.0,1959.0,1959.0,0.0,1.41,11.5,2024-01-06 04:00:00+02:00,2,1,5,1
2024-01-06 03:00:00+00:00,1.0,2035.0,2036.0,0.0,1.43,11.1,2024-01-06 05:00:00+02:00,3,1,5,1
2024-01-06 04:00:00+00:00,0.0,2027.0,2027.0,0.0,1.72,10.8,2024-01-06 06:00:00+02:00,4,1,5,1
2024-01-06 05:00:00+00:00,1.0,2044.0,2045.0,0.0,1.75,10.9,2024-01-06 07:00:00+02:00,5,1,5,1
2024-01-06 06:00:00+00:00,208.0,2153.0,2361.0,2.0,1.7,11.2,2024-01-06 08:00:00+02:00,6,1,5,1
2024-01-06 07:00:00+00:00,720.0,2356.0,3076.0,61.0,1.89,13.8,2024-01-06 09:00:00+02:00,7,1,5,1
2024-01-06 08:00:00+00:00,1370.0,2481.0,3851.0,176.0,4.0,15.9,2024-01-06 10:00:00+02:00,8,1,5,1
2024-01-06 09:00:00+00:00,1981.0,2450.0,4431.0,300.0,6.13,16.8,2024-01-06 11:00:00+02:00,9,1,5,1
2024-01-06 10:00:00+00:00,2211.0,2552.0,4763.0,343.0,6.9,17.0,2024-01-06 12:00:00+02:00,10,1,5,1
2024-01-06 11:00:00+00:00,2212.0,2627.0,4839.0,390.0,7.22,16.9,2024-01-06 13:00:00+02:00,11,1,5,1
2024-01-06 12:00:00+00:00,2103.0,2740.0,4843.0,408.0,8.0,17.0,2024-01-06 14:00:00+02:00,12,1,5,1
2024-01-06 13:00:00+00:00,1459.0,2869.0,4328.0,282.0,6.72,16.3,2024-01-06 15:00:00+02:00,13,1,5,1
2024-01-06 14:00:00+00:00,389.0,2918.0,3307.0,219.0,5.92,16.0,2024-01-06 16:00:00+02:00,14,1,5,1
2024-01-06 15:00:00+00:00,9.0,3011.0,3020.0,79.0,5.57,15.2,2024-01-06 17:00:00+02:00,15,1,5,1
2024-01-06 16:00:00+00:00,13.0,3063.0,3076.0,2.0,5.2,14.9,2024-01-06 18:00:00+02:00,16,1,5,1
2024-01-06 17:00:00+00:00,15.0,3084.0,3099.0,0.0,5.13,14.9,2024-01-06 19:00:00+02:00,17,1,5,1
2024-01-06 18:00:00+00:00,0.0,3234.0,3234.0,0.0,4.65,14.6,2024-01-06 20:00:00+02:00,18,1,5,1
2024-01-06 19:00:00+00:00,0.0,3300.0,3300.0,0.0,4.91,14.6,2024-01-06 21:00:00+02:00,19,1,5,1
2024-01-06 20:00:00+00:00,0.0,3240.0,3240.0,0.0,5.91,14.6,2024-01-06 22:00:00+02:00,20,1,5,1
2024-01-06 21:00:00+00:00,0.0,2926.0,2926.0,0.0,6.66,14.9,2024-01-06 23:00:00+02:00,21,1,5,1
2024-01-06 22:00:00+00:00,0.0,2798.0,2798.0,0.0,7.62,15.1,2024-01-07 00:00:00+02:00,22,1,5,1
2024-01-06 23:00:00+00:00,0.0,2705.0,2705.0,0.0,10.7,13.6,2024-01-07 01:00:00+02:00,23,1,5,1
2024-01-07 00:00:00+00:00,0.0,2672.0,2672.0,0.0,6.61,12.7,2024-01-07 02:00:00+02:00,0,1,6,1
2024-01-07 01:00:00+00:00,0.0,2706.0,2706.0,0.0,6.3,14.1,2024-01-07 03:00:00+02:00,1,1,6,1
2024-01-07 02:00:00+00:00,0.0,2575.0,2575.0,0.0,4.64,13.8,2024-01-07 04:00:00+02:00,2,1,6,1
2024-01-07 03:00:00+00:00,1.0,2634.0,2635.0,0.0,4.68,13.9,2024-01-07 05:00:00+02:00,3,1,6,1
2024-01-07 04:00:00+00:00,1.0,2523.0,2524.0,0.0,4.9,13.8,2024-01-07 06:00:00+02:00,4,1,6,1
2024-01-07 05:00:00+00:00,2.0,2519.0,2521.0,0.0,6.22,13.8,2024-01-07 07:00:00+02:00,5,1,6,1
2024-01-07 06:00:00+00:00,134.0,2591.0,2725.0,2.0,6.5,13.4,2024-01-07 08:00:00+02:00,6,1,6,1
2024-01-07 07:00:00+00:00,516.0,2735.0,3251.0,48.0,6.9,13.8,2024-01-07 09:00:00+02:00,7,1,6,1
2024-01-07 08:00:00+00:00,857.0,2791.0,3648.0,135.0,6.54,14.5,2024-01-07 10:00:00+02:00,8,1,6,1
2024-01-07 09:00:00+00:00,1204.0,2861.0,4065.0,240.0,6.77,15.2,2024-01-07 11:00:00+02:00,9,1,6,1
2024-01-07 10:00:00+00:00,1250.0,2999.0,4249.0,262.0,6.96,14.1,2024-01-07 12:00:00+02:00,10,1,6,1
2024-01-07 11:00:00+00:00,1318.0,3027.0,4345.0,275.0,7.17,15.6,2024-01-07 13:00:00+02:00,11,1,6,1
2024-01-07 12:00:00+00:00,1221.0,3139.0,4360.0,383.0,8.16,15.3,2024-01-07 14:00:00+02:00,12,1,6,1
2024-01-07 13:00:00+00:00,772.0,3098.0,3870.0,358.0,7.98,15.4,2024-01-07 15:00:00+02:00,13,1,6,1
2024-01-07 14:00:00+00:00,286.0,3076.0,3362.0,237.0,7.26,15.0,2024-01-07 16:00:00+02:00,14,1,6,1
2024-01-07 15:00:00+00:00,11.0,2998.0,3009.0,85.0,7.2,14.3,2024-01-07 17:00:00+02:00,15,1,6,1
2024-01-07 16:00:00+00:00,1.0,2936.0,2937.0,3.0,7.78,13.8,2024-01-07 18:00:00+02:00,16,1,6,1
2024-01-07 17:00:00+00:00,0.0,2948.0,2948.0,0.0,6.65,13.4,2024-01-07 19:00:00+02:00,17,1,6,1
2024-01-07 18:00:00+00:00,0.0,2981.0,2981.0,0.0,6.44,12.9,2024-01-07 20:00:00+02:00,18,1,6,1
2024-01-07 19:00:00+00:00,0.0,2854.0,2854.0,0.0,6.08,12.3,2024-01-07 21:00:00+02:00,19,1,6,1
2024-01-07 20:00:00+00:00,0.0,2809.0,2809.0,0.0,5.38,11.9,2024-01-07 22:00:00+02:00,20,1,6,1
2024-01-07 21:00:00+00:00,0.0,2818.0,2818.0,0.0,5.6,11.9,2024-01-07 23:00:00+02:00,21,1,6,1
2024-01-07 22:00:00+00:00,0.0,2666.0,2666.0,0.0,5.45,11.8,2024-01-08 00:00:00+02:00,22,1,6,1
2024-01-07 23:00:00+00:00,0.0,2569.0,2569.0,0.0,5.1,11.4,2024-01-08 01:00:00+02:00,23,1,6,1
2024-01-08 00:00:00+00:00,0.0,2510.0,2510.0,0.0,4.78,11.3,2024-01-08 02:00:00+02:00,0,1,0,0
2024-01-08 01:00:00+00:00,0.0,2363.0,2363.0,0.0,3.91,11.2,2024-01-08 03:00:00+02:00,1,1,0,0
2024-01-08 02:00:00+00:00,0.0,2156.0,2156.0,0.0,4.36,11.4,2024-01-08 04:00:00+02:00,2,1,0,0
2024-01-08 03:00:00+00:00,0.0,2199.0,2199.0,0.0,4.96,11.4,2024-01-08 05:00:00+02:00,3,1,0,0
2024-01-08 04:00:00+00:00,0.0,2225.0,2225.0,0.0,4.36,10.9,2024-01-08 06:00:00+02:00,4,1,0,0
2024-01-08 05:00:00+00:00,3.0,2067.0,2070.0,0.0,3.81,10.4,2024-01-08 07:00:00+02:00,5,1,0,0
2024-01-08 06:00:00+00:00,372.0,1952.0,2324.0,2.0,3.32,9.9,2024-01-08 08:00:00+02:00,6,1,0,0
2024-01-08 07:00:00+00:00,1378.0,1946.0,3324.0,86.0,2.96,11.8,2024-01-08 09:00:00+02:00,7,1,0,0
2024-01-08 08:00:00+00:00,2364.0,1881.0,4245.0,239.0,4.48,13.4,2024-01-08 10:00:00+02:00,8,1,0,0
2024-01-08 09:00:00+00:00,2789.0,1886.0,4675.0,372.0,5.27,13.9,2024-01-08 11:00:00+02:00,9,1,0,0
2024-01-08 10:00:00+00:00,2904.0,1854.0,4758.0,456.0,4.77,14.4,2024-01-08 12:00:00+02:00,10,1,0,0
2024-01-08 11:00:00+00:00,2564.0,1930.0,4494.0,482.0,5.3,14.8,2024-01-08 13:00:00+02:00,11,1,0,0
2024-01-08 12:00:00+00:00,2152.0,1849.0,4001.0,417.0,4.6,15.1,2024-01-08 14:00:00+02:00,12,1,0,0
2024-01-08 13:00:00+00:00,1282.0,1609.0,2891.0,311.0,3.16,14.7,2024-01-08 15:00:00+02:00,13,1,0,0
2024-01-08 14:00:00+00:00,327.0,1449.0,1776.0,223.0,3.1,14.0,2024-01-08 16:00:00+02:00,14,1,0,0
2024-01-08 15:00:00+00:00,7.0,1192.0,1199.0,79.0,1.88,13.1,2024-01-08 17:00:00+02:00,15,1,0,0
2024-01-08 16:00:00+00:00,1.0,1032.0,1033.0,3.0,1.8,11.6,2024-01-08 18:00:00+02:00,16,1,0,0
2024-01-08 17:00:00+00:00,0.0,915.0,915.0,0.0,1.73,11.1,2024-01-08 19:00:00+02:00,17,1,0,0
2024-01-08 18:00:00+00:00,0.0,732.0,732.0,0.0,1.7,11.0,2024-01-08 20:00:00+02:00,18,1,0,0
2024-01-08 19:00:00+00:00,0.0,656.0,656.0,0.0,2.97,10.5,2024-01-08 21:00:00+02:00,19,1,0,0
2024-01-08 20:00:00+00:00,0.0,850.0,850.0,0.0,2.21,9.5,2024-01-08 22:00:00+02:00,20,1,0,0
2024-01-08 21:00:00+00:00,0.0,874.0,874.0,0.0,1.87,9.6,2024-01-08 23:00:00+02:00,21,1,0,0
2024-01-08 22:00:00+00:00,0.0,795.0,795.0,0.0,2.16,10.2,2024-01-09 00:00:00+02:00,22,1,0,0
2024-01-08 23:00:00+00:00,0.0,714.0,714.0,0.0,2.18,9.9,2024-01-09 01:00:00+02:00,23,1,0,0
2024-01-09 00:00:00+00:00,0.0,794.0,794.0,0.0,2.06,8.6,2024-01-09 02:00:00+02:00,0,1,1,0
2024-01-09 01:00:00+00:00,0.0,747.0,747.0,0.0,1.58,9.6,2024-01-09 03:00:00+02:00,1,1,1,0
2024-01-09 02:00:00+00:00,0.0,647.0,647.0,0.0,1.17,9.6,2024-01-09 04:00:00+02:00,2,1,1,0
2024-01-09 03:00:00+00:00,0.0,697.0,697.0,0.0,1.84,9.2,2024-01-09 05:00:00+02:00,3,1,1,0
2024-01-09 04:00:00+00:00,0.0,634.0,634.0,0.0,1.94,9.1,2024-01-09 06:00:00+02:00,4,1,1,0
2024-01-09 05:00:00+00:00,1.0,665.0,666.0,0.0,1.73,8.4,2024-01-09 07:00:00+02:00,5,1,1,0
2024-01-09 06:00:00+00:00,121.0,852.0,973.0,2.0,1.39,8.4,2024-01-09 08:00:00+02:00,6,1,1,0
2024-01-09 07:00:00+00:00,481.0,1072.0,1553.0,73.0,0.95,9.6,2024-01-09 09:00:00+02:00,7,1,1,0
2024-01-09 08:00:00+00:00,780.0,1366.0,2146.0,228.0,0.89,11.6,2024-01-09 10:00:00+02:00,8,1,1,0
2024-01-09 09:00:00+00:00,967.0,1635.0,2602.0,367.0,2.02,12.9,2024-01-09 11:00:00+02:00,9,1,1,0
2024-01-09 10:00:00+00:00,1048.0,1774.0,2822.0,368.0,4.39,12.7,2024-01-09 12:00:00+02:00,10,1,1,0
2024-01-09 11:00:00+00:00,1041.0,1813.0,2854.0,378.0,4.98,12.2,2024-01-09 13:00:00+02:00,11,1,1,0
